Video_ID,url,embed_url
1819,https://www.ted.com/talks/sonia_shah_3_reasons_we_still_haven_t_gotten_rid_of_malaria,https://embed.ted.com/talks/sonia_shah_3_reasons_we_still_haven_t_gotten_rid_of_malaria
2365,https://www.ted.com/talks/mathias_jud_art_that_lets_you_talk_back_to_nsa_spies,https://embed.ted.com/talks/mathias_jud_art_that_lets_you_talk_back_to_nsa_spies
2451,https://www.ted.com/talks/casey_gerald_the_gospel_of_doubt,https://embed.ted.com/talks/casey_gerald_the_gospel_of_doubt
831,https://www.ted.com/talks/thelma_golden_how_art_gives_shape_to_cultural_change,https://embed.ted.com/talks/thelma_golden_how_art_gives_shape_to_cultural_change
1736,https://www.ted.com/talks/shaolan_learn_to_read_chinese_with_ease,https://embed.ted.com/talks/shaolan_learn_to_read_chinese_with_ease
1036,https://www.ted.com/talks/rufus_griscom_alisa_volkman_let_s_talk_parenting_taboos,https://embed.ted.com/talks/rufus_griscom_alisa_volkman_let_s_talk_parenting_taboos
2692,https://www.ted.com/talks/karina_galperin_why_don_t_we_write_words_the_way_pronounce_them,https://embed.ted.com/talks/karina_galperin_why_don_t_we_write_words_the_way_pronounce_them
292,https://www.ted.com/talks/peter_diamandis_on_stephen_hawking_in_zero_g,https://embed.ted.com/talks/peter_diamandis_on_stephen_hawking_in_zero_g
1822,https://www.ted.com/talks/marla_spivak_why_bees_are_disappearing,https://embed.ted.com/talks/marla_spivak_why_bees_are_disappearing
833,https://www.ted.com/talks/edith_widder_glowing_life_in_an_underwater_world,https://embed.ted.com/talks/edith_widder_glowing_life_in_an_underwater_world
1558,https://www.ted.com/talks/beth_noveck_demand_a_more_open_source_government,https://embed.ted.com/talks/beth_noveck_demand_a_more_open_source_government
2094,https://www.ted.com/talks/kenneth_cukier_big_data_is_better_data,https://embed.ted.com/talks/kenneth_cukier_big_data_is_better_data
2278,https://www.ted.com/talks/sarah_jones_one_woman_five_characters_and_a_sex_lesson_from_the_future,https://embed.ted.com/talks/sarah_jones_one_woman_five_characters_and_a_sex_lesson_from_the_future
2181,https://www.ted.com/talks/jaap_de_roode_how_butterflies_self_medicate,https://embed.ted.com/talks/jaap_de_roode_how_butterflies_self_medicate
502,https://www.ted.com/talks/ueli_gegenschatz_extreme_wingsuit_jumping,https://embed.ted.com/talks/ueli_gegenschatz_extreme_wingsuit_jumping
1126,https://www.ted.com/talks/kathryn_schulz_on_being_wrong,https://embed.ted.com/talks/kathryn_schulz_on_being_wrong
618,https://www.ted.com/talks/dan_pink_on_motivation,https://embed.ted.com/talks/dan_pink_on_motivation
1377,https://www.ted.com/talks/susan_cain_the_power_of_introverts,https://embed.ted.com/talks/susan_cain_the_power_of_introverts
1298,https://www.ted.com/talks/stefon_harris_there_are_no_mistakes_on_the_bandstand,https://embed.ted.com/talks/stefon_harris_there_are_no_mistakes_on_the_bandstand
1909,https://www.ted.com/talks/shereen_el_feki_a_little_told_tale_of_sex_and_sensuality,https://embed.ted.com/talks/shereen_el_feki_a_little_told_tale_of_sex_and_sensuality
1995,https://www.ted.com/talks/deborah_gordon_what_ants_teach_us_about_the_brain_cancer_and_the_internet,https://embed.ted.com/talks/deborah_gordon_what_ants_teach_us_about_the_brain_cancer_and_the_internet
1645,https://www.ted.com/talks/boghuma_kabisen_titanji_ethical_riddles_in_hiv_research,https://embed.ted.com/talks/boghuma_kabisen_titanji_ethical_riddles_in_hiv_research
1910,https://www.ted.com/talks/paula_johnson_his_and_hers_healthcare,https://embed.ted.com/talks/paula_johnson_his_and_hers_healthcare
2712,https://www.ted.com/talks/michele_l_sullivan_asking_for_help_is_a_strength_not_a_weakness,https://embed.ted.com/talks/michele_l_sullivan_asking_for_help_is_a_strength_not_a_weakness
2539,https://www.ted.com/talks/safwat_saleem_why_i_keep_speaking_up_even_when_people_mock_my_accent,https://embed.ted.com/talks/safwat_saleem_why_i_keep_speaking_up_even_when_people_mock_my_accent
939,https://www.ted.com/talks/jim_toomey_learning_from_sherman_the_shark,https://embed.ted.com/talks/jim_toomey_learning_from_sherman_the_shark
1465,https://www.ted.com/talks/seth_shostak_et_is_probably_out_there_get_ready,https://embed.ted.com/talks/seth_shostak_et_is_probably_out_there_get_ready
2629,https://www.ted.com/talks/kimberle_crenshaw_the_urgency_of_intersectionality,https://embed.ted.com/talks/kimberle_crenshaw_the_urgency_of_intersectionality
402,https://www.ted.com/talks/stewart_brand_on_the_long_now,https://embed.ted.com/talks/stewart_brand_on_the_long_now
723,https://www.ted.com/talks/bertrand_piccard_s_solar_powered_adventure,https://embed.ted.com/talks/bertrand_piccard_s_solar_powered_adventure
2821,https://www.ted.com/talks/jimmy_lin_a_simple_new_blood_test_that_can_catch_cancer_early,https://embed.ted.com/talks/jimmy_lin_a_simple_new_blood_test_that_can_catch_cancer_early
2459,https://www.ted.com/talks/meron_gribetz_a_glimpse_of_the_future_through_an_augmented_reality_headset,https://embed.ted.com/talks/meron_gribetz_a_glimpse_of_the_future_through_an_augmented_reality_headset
1130,https://www.ted.com/talks/ric_elias,https://embed.ted.com/talks/ric_elias
2097,https://www.ted.com/talks/francis_de_los_reyes_sanitation_is_a_basic_human_right,https://embed.ted.com/talks/francis_de_los_reyes_sanitation_is_a_basic_human_right
2688,https://www.ted.com/talks/margaret_bourdeaux_why_civilians_suffer_more_once_a_war_is_over,https://embed.ted.com/talks/margaret_bourdeaux_why_civilians_suffer_more_once_a_war_is_over
838,https://www.ted.com/talks/omar_ahmad_political_change_with_pen_and_paper,https://embed.ted.com/talks/omar_ahmad_political_change_with_pen_and_paper
203,https://www.ted.com/talks/yossi_vardi_fights_local_warming,https://embed.ted.com/talks/yossi_vardi_fights_local_warming
1468,https://www.ted.com/talks/diane_kelly_what_we_didn_t_know_about_penis_anatomy,https://embed.ted.com/talks/diane_kelly_what_we_didn_t_know_about_penis_anatomy
2002,https://www.ted.com/talks/tristram_wyatt_the_smelly_mystery_of_the_human_pheromone,https://embed.ted.com/talks/tristram_wyatt_the_smelly_mystery_of_the_human_pheromone
622,https://www.ted.com/talks/cary_fowler_one_seed_at_a_time_protecting_the_future_of_food,https://embed.ted.com/talks/cary_fowler_one_seed_at_a_time_protecting_the_future_of_food
2362,https://www.ted.com/talks/nancy_lublin_the_heartbreaking_text_that_inspired_a_crisis_help_line,https://embed.ted.com/talks/nancy_lublin_the_heartbreaking_text_that_inspired_a_crisis_help_line
274,https://www.ted.com/talks/clay_shirky_on_institutions_versus_collaboration,https://embed.ted.com/talks/clay_shirky_on_institutions_versus_collaboration
2195,https://www.ted.com/talks/laura_boushnak_for_these_women_reading_is_a_daring_act,https://embed.ted.com/talks/laura_boushnak_for_these_women_reading_is_a_daring_act
396,https://www.ted.com/talks/isaac_mizrahi_on_fashion_and_creativity,https://embed.ted.com/talks/isaac_mizrahi_on_fashion_and_creativity
512,https://www.ted.com/talks/shai_agassi_on_electric_cars,https://embed.ted.com/talks/shai_agassi_on_electric_cars
1043,https://www.ted.com/talks/barry_schwartz_using_our_practical_wisdom,https://embed.ted.com/talks/barry_schwartz_using_our_practical_wisdom
2542,https://www.ted.com/talks/eric_haseltine_what_will_be_the_next_big_scientific_breakthrough,https://embed.ted.com/talks/eric_haseltine_what_will_be_the_next_big_scientific_breakthrough
1913,https://www.ted.com/talks/anant_agarwal_why_massively_open_online_courses_still_matter,https://embed.ted.com/talks/anant_agarwal_why_massively_open_online_courses_still_matter
1998,https://www.ted.com/talks/simon_sinek_why_good_leaders_make_you_feel_safe,https://embed.ted.com/talks/simon_sinek_why_good_leaders_make_you_feel_safe
728,https://www.ted.com/talks/romulus_whitaker_the_real_danger_lurking_in_the_water,https://embed.ted.com/talks/romulus_whitaker_the_real_danger_lurking_in_the_water
2630,https://www.ted.com/talks/steven_johnson_how_play_leads_to_great_inventions,https://embed.ted.com/talks/steven_johnson_how_play_leads_to_great_inventions
1733,https://www.ted.com/talks/angela_lee_duckworth_grit_the_power_of_passion_and_perseverance,https://embed.ted.com/talks/angela_lee_duckworth_grit_the_power_of_passion_and_perseverance
2455,https://www.ted.com/talks/latif_nasser_you_have_no_idea_where_camels_really_come_from,https://embed.ted.com/talks/latif_nasser_you_have_no_idea_where_camels_really_come_from
2615,https://www.ted.com/talks/victor_rios_help_for_kids_the_education_system_ignores,https://embed.ted.com/talks/victor_rios_help_for_kids_the_education_system_ignores
1826,https://www.ted.com/talks/elizabeth_loftus_the_fiction_of_memory,https://embed.ted.com/talks/elizabeth_loftus_the_fiction_of_memory
404,https://www.ted.com/talks/george_smoot_on_the_design_of_the_universe,https://embed.ted.com/talks/george_smoot_on_the_design_of_the_universe
1134,https://www.ted.com/talks/mike_matas,https://embed.ted.com/talks/mike_matas
843,https://www.ted.com/talks/stephen_wolfram_computing_a_theory_of_everything,https://embed.ted.com/talks/stephen_wolfram_computing_a_theory_of_everything
628,https://www.ted.com/talks/james_balog_time_lapse_proof_of_extreme_ice_loss,https://embed.ted.com/talks/james_balog_time_lapse_proof_of_extreme_ice_loss
1566,https://www.ted.com/talks/ed_gavagan_a_story_about_knots_and_surgeons,https://embed.ted.com/talks/ed_gavagan_a_story_about_knots_and_surgeons
2825,https://www.ted.com/talks/marc_raibert_meet_spot_the_robot_dog_that_can_run_hop_and_open_doors,https://embed.ted.com/talks/marc_raibert_meet_spot_the_robot_dog_that_can_run_hop_and_open_doors
941,https://www.ted.com/talks/dan_cobley_what_physics_taught_me_about_marketing,https://embed.ted.com/talks/dan_cobley_what_physics_taught_me_about_marketing
2005,https://www.ted.com/talks/andrew_solomon_how_the_worst_moments_in_our_lives_make_us_who_we_are,https://embed.ted.com/talks/andrew_solomon_how_the_worst_moments_in_our_lives_make_us_who_we_are
2201,https://www.ted.com/talks/rob_knight_how_our_microbes_make_us_who_we_are,https://embed.ted.com/talks/rob_knight_how_our_microbes_make_us_who_we_are
1304,https://www.ted.com/talks/homaro_cantu_ben_roche_cooking_as_alchemy,https://embed.ted.com/talks/homaro_cantu_ben_roche_cooking_as_alchemy
1721,https://www.ted.com/talks/liu_bolin_the_invisible_man,https://embed.ted.com/talks/liu_bolin_the_invisible_man
2546,https://www.ted.com/talks/shubhendu_sharma_how_to_grow_a_forest_in_your_backyard,https://embed.ted.com/talks/shubhendu_sharma_how_to_grow_a_forest_in_your_backyard
